,0,1,2,3,4,5,6,7
0,0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,2,1
2,0,1,0,0,0,1,2,0
3,0,1,0,0,0,1,2,2
4,0,1,0,0,0,1,1,0
5,0,1,0,0,0,1,1,2
6,0,1,0,0,0,1,1,1
7,0,1,0,0,0,0,1,0
8,0,1,0,0,0,0,1,2
9,0,1,0,0,0,0,1,1
10,0,1,0,0,0,0,0,1
11,0,1,0,0,0,0,0,0
12,0,1,2,1,0,0,0,1
13,0,1,2,1,0,0,0,0
14,0,1,2,1,2,1,0,0
15,0,1,2,1,2,1,2,1
16,0,1,2,1,2,1,2,0
17,0,1,2,1,2,1,2,2
18,0,1,2,1,2,1,1,0
19,0,1,2,1,2,1,1,2
20,0,1,2,1,2,1,1,1
21,0,1,2,1,2,0,0,0
22,0,1,2,1,2,2,1,0
23,0,1,2,1,2,2,1,2
24,0,1,2,1,2,2,1,1
25,0,1,2,1,2,2,0,0
26,0,1,2,1,2,2,2,1
27,0,1,2,1,2,2,2,0
28,0,1,2,1,2,2,2,2
29,0,1,2,1,1,0,0,0
30,0,1,2,1,1,2,1,0
31,0,1,2,1,1,2,1,2
32,0,1,2,1,1,2,1,1
33,0,1,2,1,1,2,0,0
34,0,1,2,1,1,2,2,1
35,0,1,2,1,1,2,2,0
36,0,1,2,1,1,2,2,2
37,0,1,2,1,1,1,0,0
38,0,1,2,1,1,1,2,1
39,0,1,2,1,1,1,2,0
40,0,1,2,1,1,1,2,2
41,0,1,2,1,1,1,1,0
42,0,1,2,1,1,1,1,2
43,0,1,2,1,1,1,1,1
44,0,1,2,0,0,0,1,0
45,0,1,2,0,0,0,1,2
46,0,1,2,0,0,0,1,1
47,0,1,2,0,0,0,0,1
48,0,1,2,0,0,0,0,0
49,0,1,2,2,1,0,0,0
50,0,1,2,2,1,2,1,0
51,0,1,2,2,1,2,1,2
52,0,1,2,2,1,2,1,1
53,0,1,2,2,1,2,0,0
54,0,1,2,2,1,2,2,1
55,0,1,2,2,1,2,2,0
56,0,1,2,2,1,2,2,2
57,0,1,2,2,1,1,0,0
58,0,1,2,2,1,1,2,1
59,0,1,2,2,1,1,2,0
60,0,1,2,2,1,1,2,2
61,0,1,2,2,1,1,1,0
62,0,1,2,2,1,1,1,2
63,0,1,2,2,1,1,1,1
64,0,1,2,2,0,0,0,1
65,0,1,2,2,0,0,0,0
66,0,1,2,2,2,1,0,0
67,0,1,2,2,2,1,2,1
68,0,1,2,2,2,1,2,0
69,0,1,2,2,2,1,2,2
70,0,1,2,2,2,1,1,0
71,0,1,2,2,2,1,1,2
72,0,1,2,2,2,1,1,1
73,0,1,2,2,2,0,0,0
74,0,1,2,2,2,2,1,0
